Comunidades y Ciudades Autónomas	Sectores de actividad	Tipo de indicador	Componentes del coste	Periodo	Total
06 Cantabria	Construcción	Valor absoluto	Cotizaciones obligatorias	2021	8.550,36
06 Cantabria	Construcción	Valor absoluto	Cotizaciones obligatorias	2020	8.169,84
06 Cantabria	Construcción	Valor absoluto	Cotizaciones obligatorias	2019	8.481,27
06 Cantabria	Construcción	Valor absoluto	Cotizaciones obligatorias	2018	8.019,87
06 Cantabria	Construcción	Valor absoluto	Cotizaciones obligatorias	2017	7.749,54
06 Cantabria	Construcción	Valor absoluto	Cotizaciones obligatorias	2016	7.894,47
06 Cantabria	Construcción	Valor absoluto	Cotizaciones obligatorias	2015	7.961,52
06 Cantabria	Construcción	Valor absoluto	Cotizaciones obligatorias	2014	7.839,75
06 Cantabria	Construcción	Valor absoluto	Cotizaciones obligatorias	2013	7.652,91
06 Cantabria	Construcción	Valor absoluto	Cotizaciones obligatorias	2012	7.550,46
06 Cantabria	Construcción	Valor absoluto	Cotizaciones obligatorias	2011	7.645,35
06 Cantabria	Construcción	Valor absoluto	Cotizaciones obligatorias	2010	7.744,47
06 Cantabria	Construcción	Valor absoluto	Cotizaciones obligatorias	2009	7.563,6
06 Cantabria	Construcción	Valor absoluto	Cotizaciones obligatorias	2008	7.342,23
06 Cantabria	Construcción	Valor absoluto	Cotizaciones voluntarias	2023	104,09
06 Cantabria	Construcción	Valor absoluto	Cotizaciones voluntarias	2022	114,48
06 Cantabria	Construcción	Valor absoluto	Cotizaciones voluntarias	2021	103,19
06 Cantabria	Construcción	Valor absoluto	Cotizaciones voluntarias	2020	103,86
06 Cantabria	Construcción	Valor absoluto	Cotizaciones voluntarias	2019	125,91
06 Cantabria	Construcción	Valor absoluto	Cotizaciones voluntarias	2018	185,37
06 Cantabria	Construcción	Valor absoluto	Cotizaciones voluntarias	2017	151,99
06 Cantabria	Construcción	Valor absoluto	Cotizaciones voluntarias	2016	139,01
06 Cantabria	Construcción	Valor absoluto	Cotizaciones voluntarias	2015	147,77
06 Cantabria	Construcción	Valor absoluto	Cotizaciones voluntarias	2014	140,81
06 Cantabria	Construcción	Valor absoluto	Cotizaciones voluntarias	2013	126,15
06 Cantabria	Construcción	Valor absoluto	Cotizaciones voluntarias	2012	197,86
06 Cantabria	Construcción	Valor absoluto	Cotizaciones voluntarias	2011	131,34
06 Cantabria	Construcción	Valor absoluto	Cotizaciones voluntarias	2010	69,71
06 Cantabria	Construcción	Valor absoluto	Cotizaciones voluntarias	2009	113,68
06 Cantabria	Construcción	Valor absoluto	Cotizaciones voluntarias	2008	138,07
06 Cantabria	Construcción	Valor absoluto	Prestaciones sociales directas	2023	174,04
06 Cantabria	Construcción	Valor absoluto	Prestaciones sociales directas	2022	155,66
06 Cantabria	Construcción	Valor absoluto	Prestaciones sociales directas	2021	132,71
06 Cantabria	Construcción	Valor absoluto	Prestaciones sociales directas	2020	124,66
06 Cantabria	Construcción	Valor absoluto	Prestaciones sociales directas	2019	126,76
06 Cantabria	Construcción	Valor absoluto	Prestaciones sociales directas	2018	82,12
06 Cantabria	Construcción	Valor absoluto	Prestaciones sociales directas	2017	7,16
06 Cantabria	Construcción	Valor absoluto	Prestaciones sociales directas	2016	12,02
06 Cantabria	Construcción	Valor absoluto	Prestaciones sociales directas	2015	63,83
06 Cantabria	Construcción	Valor absoluto	Prestaciones sociales directas	2014	149,51
06 Cantabria	Construcción	Valor absoluto	Prestaciones sociales directas	2013	55,81
06 Cantabria	Construcción	Valor absoluto	Prestaciones sociales directas	2012	86,88
06 Cantabria	Construcción	Valor absoluto	Prestaciones sociales directas	2011	60,74
06 Cantabria	Construcción	Valor absoluto	Prestaciones sociales directas	2010	72,63
06 Cantabria	Construcción	Valor absoluto	Prestaciones sociales directas	2009	117,97
06 Cantabria	Construcción	Valor absoluto	Prestaciones sociales directas	2008	86,07
06 Cantabria	Construcción	Valor absoluto	Indemnizaciones por despido	2023	32,43
06 Cantabria	Construcción	Valor absoluto	Indemnizaciones por despido	2022	59,46
06 Cantabria	Construcción	Valor absoluto	Indemnizaciones por despido	2021	11,76
06 Cantabria	Construcción	Valor absoluto	Indemnizaciones por despido	2020	256,32
06 Cantabria	Construcción	Valor absoluto	Indemnizaciones por despido	2019	356,01
06 Cantabria	Construcción	Valor absoluto	Indemnizaciones por despido	2018	266,7
06 Cantabria	Construcción	Valor absoluto	Indemnizaciones por despido	2017	331,11
06 Cantabria	Construcción	Valor absoluto	Indemnizaciones por despido	2016	247,29
06 Cantabria	Construcción	Valor absoluto	Indemnizaciones por despido	2015	440,16
06 Cantabria	Construcción	Valor absoluto	Indemnizaciones por despido	2014	828,12
06 Cantabria	Construcción	Valor absoluto	Indemnizaciones por despido	2013	413,52
06 Cantabria	Construcción	Valor absoluto	Indemnizaciones por despido	2012	273,93
06 Cantabria	Construcción	Valor absoluto	Indemnizaciones por despido	2011	1.130,88
06 Cantabria	Construcción	Valor absoluto	Indemnizaciones por despido	2010	644,28
06 Cantabria	Construcción	Valor absoluto	Indemnizaciones por despido	2009	423,06
06 Cantabria	Construcción	Valor absoluto	Indemnizaciones por despido	2008	786,63
06 Cantabria	Construcción	Valor absoluto	Gastos en formación profesional	2023	36,82
06 Cantabria	Construcción	Valor absoluto	Gastos en formación profesional	2022	59,1
06 Cantabria	Construcción	Valor absoluto	Gastos en formación profesional	2021	49,5
06 Cantabria	Construcción	Valor absoluto	Gastos en formación profesional	2020	62,29
06 Cantabria	Construcción	Valor absoluto	Gastos en formación profesional	2019	60,66
06 Cantabria	Construcción	Valor absoluto	Gastos en formación profesional	2018	59,19
06 Cantabria	Construcción	Valor absoluto	Gastos en formación profesional	2017	42,71
06 Cantabria	Construcción	Valor absoluto	Gastos en formación profesional	2016	57,01
06 Cantabria	Construcción	Valor absoluto	Gastos en formación profesional	2015	48,76
06 Cantabria	Construcción	Valor absoluto	Gastos en formación profesional	2014	56,06
06 Cantabria	Construcción	Valor absoluto	Gastos en formación profesional	2013	71,41
06 Cantabria	Construcción	Valor absoluto	Gastos en formación profesional	2012	68,93
06 Cantabria	Construcción	Valor absoluto	Gastos en formación profesional	2011	44,44
06 Cantabria	Construcción	Valor absoluto	Gastos en formación profesional	2010	35,92
06 Cantabria	Construcción	Valor absoluto	Gastos en formación profesional	2009	33,7
06 Cantabria	Construcción	Valor absoluto	Gastos en formación profesional	2008	32,14
06 Cantabria	Construcción	Valor absoluto	Gastos en transporte	2023	12,95
06 Cantabria	Construcción	Valor absoluto	Gastos en transporte	2022	35,15
06 Cantabria	Construcción	Valor absoluto	Gastos en transporte	2021	25,86
06 Cantabria	Construcción	Valor absoluto	Gastos en transporte	2020	40,4
06 Cantabria	Construcción	Valor absoluto	Gastos en transporte	2019	68,4
06 Cantabria	Construcción	Valor absoluto	Gastos en transporte	2018	51,34
06 Cantabria	Construcción	Valor absoluto	Gastos en transporte	2017	21,71
06 Cantabria	Construcción	Valor absoluto	Gastos en transporte	2016	6,4
06 Cantabria	Construcción	Valor absoluto	Gastos en transporte	2015	2,78
06 Cantabria	Construcción	Valor absoluto	Gastos en transporte	2014	3,25
06 Cantabria	Construcción	Valor absoluto	Gastos en transporte	2013	68,71
06 Cantabria	Construcción	Valor absoluto	Gastos en transporte	2012	29,13
06 Cantabria	Construcción	Valor absoluto	Gastos en transporte	2011	5,39
06 Cantabria	Construcción	Valor absoluto	Gastos en transporte	2010	30,89
06 Cantabria	Construcción	Valor absoluto	Gastos en transporte	2009	43,79
06 Cantabria	Construcción	Valor absoluto	Gastos en transporte	2008	19,45
06 Cantabria	Construcción	Valor absoluto	Gastos de carácter social	2023	10,54
06 Cantabria	Construcción	Valor absoluto	Gastos de carácter social	2022	33,74
06 Cantabria	Construcción	Valor absoluto	Gastos de carácter social	2021	8,91
06 Cantabria	Construcción	Valor absoluto	Gastos de carácter social	2020	12,54
06 Cantabria	Construcción	Valor absoluto	Gastos de carácter social	2019	7,64
06 Cantabria	Construcción	Valor absoluto	Gastos de carácter social	2018	8,5
06 Cantabria	Construcción	Valor absoluto	Gastos de carácter social	2017	0
06 Cantabria	Construcción	Valor absoluto	Gastos de carácter social	2016	4,15
06 Cantabria	Construcción	Valor absoluto	Gastos de carácter social	2015	1,65
06 Cantabria	Construcción	Valor absoluto	Gastos de carácter social	2014	8,74
06 Cantabria	Construcción	Valor absoluto	Gastos de carácter social	2013	7,83
06 Cantabria	Construcción	Valor absoluto	Gastos de carácter social	2012	5,14
06 Cantabria	Construcción	Valor absoluto	Gastos de carácter social	2011	0,71
06 Cantabria	Construcción	Valor absoluto	Gastos de carácter social	2010	0,51
06 Cantabria	Construcción	Valor absoluto	Gastos de carácter social	2009	6,49
06 Cantabria	Construcción	Valor absoluto	Gastos de carácter social	2008	10,83
06 Cantabria	Construcción	Valor absoluto	Resto de costes	2023	55,42
06 Cantabria	Construcción	Valor absoluto	Resto de costes	2022	355,18
06 Cantabria	Construcción	Valor absoluto	Resto de costes	2021	280,57
06 Cantabria	Construcción	Valor absoluto	Resto de costes	2020	220,89
06 Cantabria	Construcción	Valor absoluto	Resto de costes	2019	376,56
06 Cantabria	Construcción	Valor absoluto	Resto de costes	2018	288,02
06 Cantabria	Construcción	Valor absoluto	Resto de costes	2017	312,58
06 Cantabria	Construcción	Valor absoluto	Resto de costes	2016	477,01
06 Cantabria	Construcción	Valor absoluto	Resto de costes	2015	347,04
06 Cantabria	Construcción	Valor absoluto	Resto de costes	2014	747,06
06 Cantabria	Construcción	Valor absoluto	Resto de costes	2013	470,83
06 Cantabria	Construcción	Valor absoluto	Resto de costes	2012	63,58
06 Cantabria	Construcción	Valor absoluto	Resto de costes	2011	199,96
06 Cantabria	Construcción	Valor absoluto	Resto de costes	2010	219,45
06 Cantabria	Construcción	Valor absoluto	Resto de costes	2009	226,51
06 Cantabria	Construcción	Valor absoluto	Resto de costes	2008	622,11
06 Cantabria	Construcción	Valor absoluto	Subvenciones y deducciones	2023	196,74
06 Cantabria	Construcción	Valor absoluto	Subvenciones y deducciones	2022	256,76
06 Cantabria	Construcción	Valor absoluto	Subvenciones y deducciones	2021	170,88
06 Cantabria	Construcción	Valor absoluto	Subvenciones y deducciones	2020	159,46
06 Cantabria	Construcción	Valor absoluto	Subvenciones y deducciones	2019	99,45
06 Cantabria	Construcción	Valor absoluto	Subvenciones y deducciones	2018	188,07
06 Cantabria	Construcción	Valor absoluto	Subvenciones y deducciones	2017	133,83
06 Cantabria	Construcción	Valor absoluto	Subvenciones y deducciones	2016	209,39
06 Cantabria	Construcción	Valor absoluto	Subvenciones y deducciones	2015	195,49
06 Cantabria	Construcción	Valor absoluto	Subvenciones y deducciones	2014	146,25
06 Cantabria	Construcción	Valor absoluto	Subvenciones y deducciones	2013	114,4
06 Cantabria	Construcción	Valor absoluto	Subvenciones y deducciones	2012	224,19
06 Cantabria	Construcción	Valor absoluto	Subvenciones y deducciones	2011	204,96
06 Cantabria	Construcción	Valor absoluto	Subvenciones y deducciones	2010	240,38
06 Cantabria	Construcción	Valor absoluto	Subvenciones y deducciones	2009	211,49
06 Cantabria	Construcción	Valor absoluto	Subvenciones y deducciones	2008	217,82
06 Cantabria	Construcción	Valor absoluto	Coste total neto	2023	33.579,11
06 Cantabria	Construcción	Valor absoluto	Coste total neto	2022	33.525,34
06 Cantabria	Construcción	Valor absoluto	Coste total neto	2021	31.253,73
06 Cantabria	Construcción	Valor absoluto	Coste total neto	2020	30.342,07
06 Cantabria	Construcción	Valor absoluto	Coste total neto	2019	32.180,17
06 Cantabria	Construcción	Valor absoluto	Coste total neto	2018	30.018,45
06 Cantabria	Construcción	Valor absoluto	Coste total neto	2017	28.650,4
06 Cantabria	Construcción	Valor absoluto	Coste total neto	2016	29.076,67
06 Cantabria	Construcción	Valor absoluto	Coste total neto	2015	30.127,95
06 Cantabria	Construcción	Valor absoluto	Coste total neto	2014	30.710,18
06 Cantabria	Construcción	Valor absoluto	Coste total neto	2013	29.873,82
06 Cantabria	Construcción	Valor absoluto	Coste total neto	2012	28.618,06
06 Cantabria	Construcción	Valor absoluto	Coste total neto	2011	30.325,82
06 Cantabria	Construcción	Valor absoluto	Coste total neto	2010	29.624,22
06 Cantabria	Construcción	Valor absoluto	Coste total neto	2009	28.846,43
06 Cantabria	Construcción	Valor absoluto	Coste total neto	2008	28.733,11
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Coste total bruto	2023	100
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Coste total bruto	2022	100
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Coste total bruto	2021	100
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Coste total bruto	2020	100
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Coste total bruto	2019	100
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Coste total bruto	2018	100
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Coste total bruto	2017	100
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Coste total bruto	2016	100
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Coste total bruto	2015	100
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Coste total bruto	2014	100
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Coste total bruto	2013	100
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Coste total bruto	2012	100
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Coste total bruto	2011	100
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Coste total bruto	2010	100
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Coste total bruto	2009	100
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Coste total bruto	2008	100
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Sueldos y salarios	2023	71,08
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Sueldos y salarios	2022	71
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Sueldos y salarios	2021	70,84
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Sueldos y salarios	2020	70,52
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Sueldos y salarios	2019	70,25
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Sueldos y salarios	2018	70,33
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Sueldos y salarios	2017	70,06
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Sueldos y salarios	2016	69,82
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Sueldos y salarios	2015	70,28
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Sueldos y salarios	2014	68,33
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Sueldos y salarios	2013	70,43
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Sueldos y salarios	2012	71,31
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Sueldos y salarios	2011	69,8
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Sueldos y salarios	2010	70,47
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Sueldos y salarios	2009	70,65
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Sueldos y salarios	2008	68,78
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2023	27,66
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2022	26,59
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2021	27,21
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2020	26,79
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2019	26,27
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2018	26,55
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2017	26,92
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2016	26,96
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2015	26,26
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2014	25,41
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2013	25,52
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2012	26,18
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2011	25,04
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2010	25,93
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2009	26,03
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2008	25,36
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2023	0,31
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2022	0,34
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2021	0,33
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2020	0,34
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2019	0,39
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2018	0,61
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2017	0,53
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2016	0,47
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2015	0,49
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2014	0,46
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2013	0,42
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2012	0,69
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2011	0,43
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2010	0,23
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2009	0,39
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2008	0,48
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2023	0,52
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2022	0,46
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2021	0,42
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2020	0,41
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2019	0,39
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2018	0,27
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2017	0,02
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2016	0,04
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2015	0,21
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2014	0,48
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2013	0,19
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2012	0,3
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2011	0,2
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2010	0,24
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2009	0,41
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2008	0,3
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2023	0,1
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2022	0,18
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2021	0,04
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2020	0,84
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2019	1,1
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2018	0,88
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2017	1,15
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2016	0,84
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2015	1,45
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2014	2,68
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2013	1,38
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2012	0,95
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2011	3,7
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2010	2,16
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2009	1,46
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2008	2,72
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2023	0,11
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2022	0,17
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2021	0,16
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2020	0,2
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2019	0,19
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2018	0,2
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2017	0,15
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2016	0,19
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2015	0,16
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2014	0,18
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2013	0,24
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2012	0,24
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2011	0,15
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2010	0,12
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2009	0,12
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2008	0,11
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en transporte	2023	0,04
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en transporte	2022	0,1
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en transporte	2021	0,08
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en transporte	2020	0,13
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en transporte	2019	0,21
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en transporte	2018	0,17
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en transporte	2017	0,08
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en transporte	2016	0,02
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en transporte	2015	0,01
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en transporte	2014	0,01
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en transporte	2013	0,23
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en transporte	2012	0,1
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en transporte	2011	0,02
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en transporte	2010	0,1
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en transporte	2009	0,15
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos en transporte	2008	0,07
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos de carácter social	2023	0,03
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos de carácter social	2022	0,1
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos de carácter social	2021	0,03
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos de carácter social	2020	0,04
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos de carácter social	2019	0,02
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos de carácter social	2018	0,03
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos de carácter social	2017	0
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos de carácter social	2016	0,01
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos de carácter social	2015	0,01
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos de carácter social	2014	0,03
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos de carácter social	2013	0,03
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos de carácter social	2012	0,02
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos de carácter social	2011	0
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos de carácter social	2010	0
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos de carácter social	2009	0,02
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Gastos de carácter social	2008	0,04
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Resto de costes	2023	0,16
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Resto de costes	2022	1,05
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Resto de costes	2021	0,89
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Resto de costes	2020	0,72
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Resto de costes	2019	1,17
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Resto de costes	2018	0,95
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Resto de costes	2017	1,09
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Resto de costes	2016	1,63
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Resto de costes	2015	1,14
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Resto de costes	2014	2,42
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Resto de costes	2013	1,57
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Resto de costes	2012	0,22
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Resto de costes	2011	0,65
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Resto de costes	2010	0,73
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Resto de costes	2009	0,78
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Resto de costes	2008	2,15
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Subvenciones y deducciones	2023	..
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Subvenciones y deducciones	2022	..
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Subvenciones y deducciones	2021	..
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Subvenciones y deducciones	2020	..
06 Cantabria	Construcción	Porcentaje sobre el coste total bruto	Subvenciones y deducciones	2019	..
