Rama de actividad - CNAE2009	Sexo	Tipo de dato	Periodo	Total
22 Fabricación de productos de caucho y plásticos	Hombres	Valor absoluto	2021	69,1
22 Fabricación de productos de caucho y plásticos	Hombres	Valor absoluto	2020	71,2
22 Fabricación de productos de caucho y plásticos	Hombres	Valor absoluto	2019	74,1
22 Fabricación de productos de caucho y plásticos	Hombres	Valor absoluto	2018	81,7
22 Fabricación de productos de caucho y plásticos	Hombres	Valor absoluto	2017	73,2
22 Fabricación de productos de caucho y plásticos	Hombres	Valor absoluto	2016	65,9
22 Fabricación de productos de caucho y plásticos	Hombres	Valor absoluto	2015	62,3
22 Fabricación de productos de caucho y plásticos	Hombres	Valor absoluto	2014	58,2
22 Fabricación de productos de caucho y plásticos	Hombres	Valor absoluto	2013	60,8
22 Fabricación de productos de caucho y plásticos	Hombres	Valor absoluto	2012	66,2
22 Fabricación de productos de caucho y plásticos	Hombres	Valor absoluto	2011	71,4
22 Fabricación de productos de caucho y plásticos	Hombres	Valor absoluto	2010	72,5
22 Fabricación de productos de caucho y plásticos	Hombres	Valor absoluto	2009	75,1
22 Fabricación de productos de caucho y plásticos	Hombres	Valor absoluto	2008	81,8
22 Fabricación de productos de caucho y plásticos	Hombres	Porcentaje	2023	0,6
22 Fabricación de productos de caucho y plásticos	Hombres	Porcentaje	2022	0,6
22 Fabricación de productos de caucho y plásticos	Hombres	Porcentaje	2021	0,6
22 Fabricación de productos de caucho y plásticos	Hombres	Porcentaje	2020	0,7
22 Fabricación de productos de caucho y plásticos	Hombres	Porcentaje	2019	0,7
22 Fabricación de productos de caucho y plásticos	Hombres	Porcentaje	2018	0,8
22 Fabricación de productos de caucho y plásticos	Hombres	Porcentaje	2017	0,7
22 Fabricación de productos de caucho y plásticos	Hombres	Porcentaje	2016	0,7
22 Fabricación de productos de caucho y plásticos	Hombres	Porcentaje	2015	0,6
22 Fabricación de productos de caucho y plásticos	Hombres	Porcentaje	2014	0,6
22 Fabricación de productos de caucho y plásticos	Hombres	Porcentaje	2013	0,7
22 Fabricación de productos de caucho y plásticos	Hombres	Porcentaje	2012	0,7
22 Fabricación de productos de caucho y plásticos	Hombres	Porcentaje	2011	0,7
22 Fabricación de productos de caucho y plásticos	Hombres	Porcentaje	2010	0,7
22 Fabricación de productos de caucho y plásticos	Hombres	Porcentaje	2009	0,7
22 Fabricación de productos de caucho y plásticos	Hombres	Porcentaje	2008	0,7
22 Fabricación de productos de caucho y plásticos	Mujeres	Valor absoluto	2023	29,3
22 Fabricación de productos de caucho y plásticos	Mujeres	Valor absoluto	2022	25,2
22 Fabricación de productos de caucho y plásticos	Mujeres	Valor absoluto	2021	24,8
22 Fabricación de productos de caucho y plásticos	Mujeres	Valor absoluto	2020	26,1
22 Fabricación de productos de caucho y plásticos	Mujeres	Valor absoluto	2019	30,8
22 Fabricación de productos de caucho y plásticos	Mujeres	Valor absoluto	2018	29,3
22 Fabricación de productos de caucho y plásticos	Mujeres	Valor absoluto	2017	23,8
22 Fabricación de productos de caucho y plásticos	Mujeres	Valor absoluto	2016	22,9
22 Fabricación de productos de caucho y plásticos	Mujeres	Valor absoluto	2015	22,4
22 Fabricación de productos de caucho y plásticos	Mujeres	Valor absoluto	2014	21,3
22 Fabricación de productos de caucho y plásticos	Mujeres	Valor absoluto	2013	19,7
22 Fabricación de productos de caucho y plásticos	Mujeres	Valor absoluto	2012	17
22 Fabricación de productos de caucho y plásticos	Mujeres	Valor absoluto	2011	14,8
22 Fabricación de productos de caucho y plásticos	Mujeres	Valor absoluto	2010	25,7
22 Fabricación de productos de caucho y plásticos	Mujeres	Valor absoluto	2009	26,2
22 Fabricación de productos de caucho y plásticos	Mujeres	Valor absoluto	2008	25,9
22 Fabricación de productos de caucho y plásticos	Mujeres	Porcentaje	2023	0,3
22 Fabricación de productos de caucho y plásticos	Mujeres	Porcentaje	2022	0,3
22 Fabricación de productos de caucho y plásticos	Mujeres	Porcentaje	2021	0,3
22 Fabricación de productos de caucho y plásticos	Mujeres	Porcentaje	2020	0,3
22 Fabricación de productos de caucho y plásticos	Mujeres	Porcentaje	2019	0,3
22 Fabricación de productos de caucho y plásticos	Mujeres	Porcentaje	2018	0,3
22 Fabricación de productos de caucho y plásticos	Mujeres	Porcentaje	2017	0,3
22 Fabricación de productos de caucho y plásticos	Mujeres	Porcentaje	2016	0,3
22 Fabricación de productos de caucho y plásticos	Mujeres	Porcentaje	2015	0,3
22 Fabricación de productos de caucho y plásticos	Mujeres	Porcentaje	2014	0,3
22 Fabricación de productos de caucho y plásticos	Mujeres	Porcentaje	2013	0,3
22 Fabricación de productos de caucho y plásticos	Mujeres	Porcentaje	2012	0,2
22 Fabricación de productos de caucho y plásticos	Mujeres	Porcentaje	2011	0,2
22 Fabricación de productos de caucho y plásticos	Mujeres	Porcentaje	2010	0,3
22 Fabricación de productos de caucho y plásticos	Mujeres	Porcentaje	2009	0,3
22 Fabricación de productos de caucho y plásticos	Mujeres	Porcentaje	2008	0,3
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Valor absoluto	2023	117,2
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Valor absoluto	2022	110,6
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Valor absoluto	2021	107,1
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Valor absoluto	2020	103,3
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Valor absoluto	2019	108,9
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Valor absoluto	2018	99
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Valor absoluto	2017	97,2
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Valor absoluto	2016	97,2
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Valor absoluto	2015	95,9
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Valor absoluto	2014	94,6
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Valor absoluto	2013	95,9
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Valor absoluto	2012	106,9
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Valor absoluto	2011	124,1
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Valor absoluto	2010	131
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Valor absoluto	2009	161,2
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Valor absoluto	2008	212,1
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Porcentaje	2023	0,6
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Porcentaje	2022	0,5
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Porcentaje	2021	0,5
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Porcentaje	2020	0,5
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Porcentaje	2019	0,6
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Porcentaje	2018	0,5
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Porcentaje	2017	0,5
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Porcentaje	2016	0,5
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Porcentaje	2015	0,5
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Porcentaje	2014	0,5
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Porcentaje	2013	0,6
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Porcentaje	2012	0,6
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Porcentaje	2011	0,7
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Porcentaje	2010	0,7
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Porcentaje	2009	0,8
23 Fabricación de otros productos minerales no metálicos	Ambos sexos	Porcentaje	2008	1
23 Fabricación de otros productos minerales no metálicos	Hombres	Valor absoluto	2023	98,5
23 Fabricación de otros productos minerales no metálicos	Hombres	Valor absoluto	2022	92,6
23 Fabricación de otros productos minerales no metálicos	Hombres	Valor absoluto	2021	89,2
23 Fabricación de otros productos minerales no metálicos	Hombres	Valor absoluto	2020	84
23 Fabricación de otros productos minerales no metálicos	Hombres	Valor absoluto	2019	89,5
23 Fabricación de otros productos minerales no metálicos	Hombres	Valor absoluto	2018	82
23 Fabricación de otros productos minerales no metálicos	Hombres	Valor absoluto	2017	84,2
23 Fabricación de otros productos minerales no metálicos	Hombres	Valor absoluto	2016	83,6
23 Fabricación de otros productos minerales no metálicos	Hombres	Valor absoluto	2015	79,8
23 Fabricación de otros productos minerales no metálicos	Hombres	Valor absoluto	2014	80,4
23 Fabricación de otros productos minerales no metálicos	Hombres	Valor absoluto	2013	81,5
23 Fabricación de otros productos minerales no metálicos	Hombres	Valor absoluto	2012	91,5
23 Fabricación de otros productos minerales no metálicos	Hombres	Valor absoluto	2011	104,6
23 Fabricación de otros productos minerales no metálicos	Hombres	Valor absoluto	2010	111,4
23 Fabricación de otros productos minerales no metálicos	Hombres	Valor absoluto	2009	136,7
23 Fabricación de otros productos minerales no metálicos	Hombres	Valor absoluto	2008	177,9
23 Fabricación de otros productos minerales no metálicos	Hombres	Porcentaje	2023	0,9
23 Fabricación de otros productos minerales no metálicos	Hombres	Porcentaje	2022	0,8
23 Fabricación de otros productos minerales no metálicos	Hombres	Porcentaje	2021	0,8
23 Fabricación de otros productos minerales no metálicos	Hombres	Porcentaje	2020	0,8
23 Fabricación de otros productos minerales no metálicos	Hombres	Porcentaje	2019	0,8
23 Fabricación de otros productos minerales no metálicos	Hombres	Porcentaje	2018	0,8
23 Fabricación de otros productos minerales no metálicos	Hombres	Porcentaje	2017	0,8
23 Fabricación de otros productos minerales no metálicos	Hombres	Porcentaje	2016	0,8
23 Fabricación de otros productos minerales no metálicos	Hombres	Porcentaje	2015	0,8
23 Fabricación de otros productos minerales no metálicos	Hombres	Porcentaje	2014	0,9
23 Fabricación de otros productos minerales no metálicos	Hombres	Porcentaje	2013	0,9
23 Fabricación de otros productos minerales no metálicos	Hombres	Porcentaje	2012	1
23 Fabricación de otros productos minerales no metálicos	Hombres	Porcentaje	2011	1
23 Fabricación de otros productos minerales no metálicos	Hombres	Porcentaje	2010	1,1
23 Fabricación de otros productos minerales no metálicos	Hombres	Porcentaje	2009	1,3
23 Fabricación de otros productos minerales no metálicos	Hombres	Porcentaje	2008	1,5
23 Fabricación de otros productos minerales no metálicos	Mujeres	Valor absoluto	2023	18,7
23 Fabricación de otros productos minerales no metálicos	Mujeres	Valor absoluto	2022	18,1
23 Fabricación de otros productos minerales no metálicos	Mujeres	Valor absoluto	2021	17,9
23 Fabricación de otros productos minerales no metálicos	Mujeres	Valor absoluto	2020	19,3
23 Fabricación de otros productos minerales no metálicos	Mujeres	Valor absoluto	2019	19,4
23 Fabricación de otros productos minerales no metálicos	Mujeres	Valor absoluto	2018	17
23 Fabricación de otros productos minerales no metálicos	Mujeres	Valor absoluto	2017	13,1
23 Fabricación de otros productos minerales no metálicos	Mujeres	Valor absoluto	2016	13,6
23 Fabricación de otros productos minerales no metálicos	Mujeres	Valor absoluto	2015	16,1
23 Fabricación de otros productos minerales no metálicos	Mujeres	Valor absoluto	2014	14,2
23 Fabricación de otros productos minerales no metálicos	Mujeres	Valor absoluto	2013	14,4
23 Fabricación de otros productos minerales no metálicos	Mujeres	Valor absoluto	2012	15,5
23 Fabricación de otros productos minerales no metálicos	Mujeres	Valor absoluto	2011	19,6
23 Fabricación de otros productos minerales no metálicos	Mujeres	Valor absoluto	2010	19,6
23 Fabricación de otros productos minerales no metálicos	Mujeres	Valor absoluto	2009	24,5
23 Fabricación de otros productos minerales no metálicos	Mujeres	Valor absoluto	2008	34,2
23 Fabricación de otros productos minerales no metálicos	Mujeres	Porcentaje	2023	0,2
23 Fabricación de otros productos minerales no metálicos	Mujeres	Porcentaje	2022	0,2
23 Fabricación de otros productos minerales no metálicos	Mujeres	Porcentaje	2021	0,2
23 Fabricación de otros productos minerales no metálicos	Mujeres	Porcentaje	2020	0,2
23 Fabricación de otros productos minerales no metálicos	Mujeres	Porcentaje	2019	0,2
23 Fabricación de otros productos minerales no metálicos	Mujeres	Porcentaje	2018	0,2
23 Fabricación de otros productos minerales no metálicos	Mujeres	Porcentaje	2017	0,2
23 Fabricación de otros productos minerales no metálicos	Mujeres	Porcentaje	2016	0,2
23 Fabricación de otros productos minerales no metálicos	Mujeres	Porcentaje	2015	0,2
23 Fabricación de otros productos minerales no metálicos	Mujeres	Porcentaje	2014	0,2
23 Fabricación de otros productos minerales no metálicos	Mujeres	Porcentaje	2013	0,2
23 Fabricación de otros productos minerales no metálicos	Mujeres	Porcentaje	2012	0,2
23 Fabricación de otros productos minerales no metálicos	Mujeres	Porcentaje	2011	0,2
23 Fabricación de otros productos minerales no metálicos	Mujeres	Porcentaje	2010	0,2
23 Fabricación de otros productos minerales no metálicos	Mujeres	Porcentaje	2009	0,3
23 Fabricación de otros productos minerales no metálicos	Mujeres	Porcentaje	2008	0,4
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Valor absoluto	2023	81,2
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Valor absoluto	2022	94,9
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Valor absoluto	2021	82,6
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Valor absoluto	2020	77,5
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Valor absoluto	2019	87,3
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Valor absoluto	2018	89
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Valor absoluto	2017	90,9
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Valor absoluto	2016	81,6
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Valor absoluto	2015	81
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Valor absoluto	2014	73,9
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Valor absoluto	2013	76
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Valor absoluto	2012	80,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Valor absoluto	2011	87,3
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Valor absoluto	2010	93,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Valor absoluto	2009	95,5
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Valor absoluto	2008	115,4
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Porcentaje	2023	0,4
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Porcentaje	2022	0,5
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Porcentaje	2021	0,4
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Porcentaje	2020	0,4
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Porcentaje	2019	0,4
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Porcentaje	2018	0,5
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Porcentaje	2017	0,5
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Porcentaje	2016	0,4
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Porcentaje	2015	0,5
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Porcentaje	2014	0,4
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Porcentaje	2013	0,4
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Porcentaje	2012	0,5
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Porcentaje	2011	0,5
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Porcentaje	2010	0,5
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Porcentaje	2009	0,5
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Ambos sexos	Porcentaje	2008	0,6
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Valor absoluto	2023	75
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Valor absoluto	2022	86,4
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Valor absoluto	2021	72,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Valor absoluto	2020	70
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Valor absoluto	2019	77,7
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Valor absoluto	2018	76,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Valor absoluto	2017	83,5
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Valor absoluto	2016	74,5
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Valor absoluto	2015	71,2
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Valor absoluto	2014	65,6
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Valor absoluto	2013	68,8
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Valor absoluto	2012	72,5
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Valor absoluto	2011	77,5
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Valor absoluto	2010	81,4
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Valor absoluto	2009	87,4
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Valor absoluto	2008	106,4
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Porcentaje	2023	0,7
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Porcentaje	2022	0,8
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Porcentaje	2021	0,7
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Porcentaje	2020	0,7
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Porcentaje	2019	0,7
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Porcentaje	2018	0,7
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Porcentaje	2017	0,8
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Porcentaje	2016	0,7
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Porcentaje	2015	0,7
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Porcentaje	2014	0,7
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Porcentaje	2013	0,7
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Porcentaje	2012	0,8
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Porcentaje	2011	0,8
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Porcentaje	2010	0,8
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Porcentaje	2009	0,8
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Hombres	Porcentaje	2008	0,9
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Valor absoluto	2023	6,2
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Valor absoluto	2022	8,5
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Valor absoluto	2021	10,5
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Valor absoluto	2020	7,5
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Valor absoluto	2019	9,5
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Valor absoluto	2018	12,8
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Valor absoluto	2017	7,3
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Valor absoluto	2016	7,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Valor absoluto	2015	9,8
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Valor absoluto	2014	8,3
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Valor absoluto	2013	7,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Valor absoluto	2012	7,7
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Valor absoluto	2011	9,9
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Valor absoluto	2010	11,7
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Valor absoluto	2009	8,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Valor absoluto	2008	9,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Porcentaje	2023	0,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Porcentaje	2022	0,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Porcentaje	2021	0,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Porcentaje	2020	0,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Porcentaje	2019	0,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Porcentaje	2018	0,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Porcentaje	2017	0,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Porcentaje	2016	0,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Porcentaje	2015	0,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Porcentaje	2014	0,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Porcentaje	2013	0,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Porcentaje	2012	0,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Porcentaje	2011	0,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Porcentaje	2010	0,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Porcentaje	2009	0,1
24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Mujeres	Porcentaje	2008	0,1
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Valor absoluto	2023	239,6
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Valor absoluto	2022	249,4
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Valor absoluto	2021	260,7
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Valor absoluto	2020	243
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Valor absoluto	2019	237,4
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Valor absoluto	2018	232,2
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Valor absoluto	2017	212,6
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Valor absoluto	2016	224,8
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Valor absoluto	2015	217,9
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Valor absoluto	2014	200,1
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Valor absoluto	2013	212,3
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Valor absoluto	2012	235,9
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Valor absoluto	2011	262,7
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Valor absoluto	2010	257,1
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Valor absoluto	2009	279,1
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Valor absoluto	2008	374,4
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Porcentaje	2023	1,1
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Porcentaje	2022	1,2
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Porcentaje	2021	1,3
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Porcentaje	2020	1,3
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Porcentaje	2019	1,2
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Porcentaje	2018	1,2
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Porcentaje	2017	1,1
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Porcentaje	2016	1,2
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Porcentaje	2015	1,2
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Porcentaje	2014	1,2
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Porcentaje	2013	1,2
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Porcentaje	2012	1,3
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Porcentaje	2011	1,4
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Porcentaje	2010	1,4
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Porcentaje	2009	1,5
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Ambos sexos	Porcentaje	2008	1,8
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Hombres	Valor absoluto	2023	209,9
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Hombres	Valor absoluto	2022	216,6
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Hombres	Valor absoluto	2021	227,4
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Hombres	Valor absoluto	2020	206,8
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Hombres	Valor absoluto	2019	206,9
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Hombres	Valor absoluto	2018	203,1
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Hombres	Valor absoluto	2017	184,9
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Hombres	Valor absoluto	2016	199,9
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Hombres	Valor absoluto	2015	188,7
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Hombres	Valor absoluto	2014	178,9
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Hombres	Valor absoluto	2013	190,7
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Hombres	Valor absoluto	2012	208,2
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Hombres	Valor absoluto	2011	232,1
25 Fabricación de productos metálicos, excepto maquinaria y equipo	Hombres	Valor absoluto	2010	225,6
